URL,REDIRECTS_TO,TYPE,LANG,STATUS,CANONICAL,ROBOTS,INDEXABLE,TITLE,DESCRIPTION,H1,WORDS,INBOUND,ORPHAN,SCHEMA,HREFLANG,GRADE,ISSUES
https://ekgurulearning.github.io/EkGuru/404.html,https://ekguru.shop/404.html,404.html,en,,https://ekguru.shop/404.html,"noindex, follow",no,Page not found | EkGuru,"That page has moved or never existed. Find a Hindi tutor, a free guide, or an answer to a Hindi question on EkGuru.",Page not found,65,0,YES,,0,C,
https://ekgurulearning.github.io/EkGuru/about/index.html,https://ekguru.shop/about/,about,en,,https://ekguru.shop/about/,"index, follow, max-snippet:-1, max-image-preview:large",yes,About EkGuru — Who Runs This Site and Why | EkGuru,"EkGuru is a small Hindi tutoring site run by Prakash from Jaipur. Who is behind it, how it works, how it makes money, and what it will not do.",About EkGuru,641,551,no,WebPage WebSite Organization BreadcrumbList ListItem ListItem Organization Person CollegeOrUniversity,0,A,
https://ekgurulearning.github.io/EkGuru/admin.html,https://ekguru.shop/admin.html,admin.html,en,,,"noindex,nofollow,noarchive",no,EkGuru — bookings,,Admin unavailable,2342,0,YES,,0,C,
https://ekgurulearning.github.io/EkGuru/answers/best-hindi-movies-to-learn-hindi/index.html,https://ekguru.shop/answers/best-hindi-movies-to-learn-hindi/,answers,en,,https://ekguru.shop/answers/best-hindi-movies-to-learn-hindi/,"index, follow, max-snippet:-1, max-image-preview:large",yes,What are the best Hindi movies for learning Hindi? | EkGuru,"Pick films with ordinary conversation rather than poetry or heavy dialogue: 3 Idiots, Queen, Piku, Dangal and Chhichhore all use everyday spoken Hindi at a…",What are the best Hindi movies for learning Hindi?,449,5,no,QAPage Question Answer Organization BreadcrumbList ListItem ListItem ListItem,0,A,
https://ekgurulearning.github.io/EkGuru/answers/best-way-to-learn-hindi-as-a-beginner/index.html,https://ekguru.shop/answers/best-way-to-learn-hindi-as-a-beginner/,answers,en,,https://ekguru.shop/answers/best-way-to-learn-hindi-as-a-beginner/,"index, follow, max-snippet:-1, max-image-preview:large",yes,What is the best way to learn Hindi as a complete… | EkGuru,Learn Devanagari first — four to eight weeks at twenty minutes a day — then start speaking badly immediately rather than waiting until you feel ready. The…,What is the best way to learn Hindi as a complete beginner?,691,6,no,QAPage Question Answer Organization BreadcrumbList ListItem ListItem ListItem,0,A,
https://ekgurulearning.github.io/EkGuru/answers/can-i-learn-hindi-without-learning-the-script/index.html,https://ekguru.shop/answers/can-i-learn-hindi-without-learning-the-script/,answers,en,,https://ekguru.shop/answers/can-i-learn-hindi-without-learning-the-script/,"index, follow, max-snippet:-1, max-image-preview:large",yes,Can I learn Hindi without learning the Devanagari… | EkGuru,"Yes, and for some goals it is the right choice — if you only want to speak with family or handle a trip, spoken Hindi through romanisation is a legitimate…",Can I learn Hindi without learning the Devanagari script?,715,4,no,QAPage Question Answer Organization BreadcrumbList ListItem ListItem ListItem,0,A,
https://ekgurulearning.github.io/EkGuru/answers/difference-between-hindi-and-urdu/index.html,https://ekguru.shop/answers/difference-between-hindi-and-urdu/,answers,en,,https://ekguru.shop/answers/difference-between-hindi-and-urdu/,"index, follow, max-snippet:-1, max-image-preview:large",yes,What is the difference between Hindi and Urdu? | EkGuru,"In everyday speech there is almost none — a Hindi speaker and an Urdu speaker discussing food, family or the weather understand each other completely. The…",What is the difference between Hindi and Urdu?,605,6,no,QAPage Question Answer Organization BreadcrumbList ListItem ListItem ListItem,0,A,
https://ekgurulearning.github.io/EkGuru/answers/hindi-body-parts-vocabulary/index.html,https://ekguru.shop/answers/hindi-body-parts-vocabulary/,answers,en,,https://ekguru.shop/answers/hindi-body-parts-vocabulary/,"index, follow, max-snippet:-1, max-image-preview:large",yes,What are the body parts in Hindi? | EkGuru,"सिर sir (head), आँख aankh (eye), नाक naak (nose), कान kaan (ear), मुँह munh (mouth), हाथ haath (hand or arm), पैर pair (foot or leg), पेट pet (stomach), दिल…",What are the body parts in Hindi?,452,5,no,QAPage Question Answer Organization BreadcrumbList ListItem ListItem ListItem,0,A,
https://ekgurulearning.github.io/EkGuru/answers/hindi-colours-list/index.html,https://ekguru.shop/answers/hindi-colours-list/,answers,en,,https://ekguru.shop/answers/hindi-colours-list/,"index, follow, max-snippet:-1, max-image-preview:large",yes,What are the colours in Hindi? | EkGuru,"लाल laal (red), नीला neela (blue), हरा hara (green), पीला peela (yellow), काला kaala (black), सफ़ेद safed (white), नारंगी naarangi (orange), गुलाबी gulaabi…",What are the colours in Hindi?,411,5,no,QAPage Question Answer Organization BreadcrumbList ListItem ListItem ListItem,0,A,
https://ekgurulearning.github.io/EkGuru/answers/hindi-days-of-the-week/index.html,https://ekguru.shop/answers/hindi-days-of-the-week/,answers,en,,https://ekguru.shop/answers/hindi-days-of-the-week/,"index, follow, max-snippet:-1, max-image-preview:large",yes,What are the days of the week in Hindi? | EkGuru,"सोमवार somvaar (Monday), मंगलवार mangalvaar (Tuesday), बुधवार budhvaar (Wednesday), गुरुवार guruvaar (Thursday), शुक्रवार shukravaar (Friday), शनिवार…",What are the days of the week in Hindi?,445,6,no,QAPage Question Answer Organization BreadcrumbList ListItem ListItem ListItem,0,A,
https://ekgurulearning.github.io/EkGuru/answers/hindi-family-words/index.html,https://ekguru.shop/answers/hindi-family-words/,answers,en,,https://ekguru.shop/answers/hindi-family-words/,"index, follow, max-snippet:-1, max-image-preview:large",yes,What are the family words in Hindi? | EkGuru,"Hindi has a separate word for nearly every relative, because the relationship itself is built into the word. चाचा is your father's younger brother, ताऊ his…",What are the family words in Hindi?,466,8,no,QAPage Question Answer Organization BreadcrumbList ListItem ListItem ListItem,0,A,
https://ekgurulearning.github.io/EkGuru/answers/hindi-greetings-namaste-and-others/index.html,https://ekguru.shop/answers/hindi-greetings-namaste-and-others/,answers,en,,https://ekguru.shop/answers/hindi-greetings-namaste-and-others/,"index, follow, max-snippet:-1, max-image-preview:large",yes,What are the common Hindi greetings besides namaste? | EkGuru,"नमस्ते (namaste) works everywhere and at any time of day, which is why it is the one everyone learns. But Hindi speakers also use नमस्कार (namaskar) for…",What are the common Hindi greetings besides namaste?,629,4,no,QAPage Question Answer Organization BreadcrumbList ListItem ListItem ListItem,0,A,
https://ekgurulearning.github.io/EkGuru/answers/hindi-months-and-seasons/index.html,https://ekguru.shop/answers/hindi-months-and-seasons/,answers,en,,https://ekguru.shop/answers/hindi-months-and-seasons/,"index, follow, max-snippet:-1, max-image-preview:large",yes,What are the months and seasons in Hindi? | EkGuru,"Everyday Hindi uses the English month names, pronounced with Hindi sounds — जनवरी (janvari), फ़रवरी (farvari), मार्च (maarch). There is also a traditional…",What are the months and seasons in Hindi?,469,6,no,QAPage Question Answer Organization BreadcrumbList ListItem ListItem ListItem,0,A,
