path,category,title,canonical,robots,indexable,publication_state,ad_class,visible_words,h1_count,duplicate_ids,duplicate_external_scripts,images_missing_alt,internal_links,external_links,forms,adsense_loader,adsense_slots,consent_script,analytics_script,issues
404.html,utility,Page not found | EkGuru,https://ekguru.shop/404.html,"noindex, follow",no,NOINDEX,RESEARCH_REQUIRED,191,1,,,0,1,1,0,no,0,yes,yes,
about/index.html,other,About EkGuru — Who Runs This Site and Why | EkGuru,https://ekguru.shop/about/,"index, follow, max-snippet:-1, max-image-preview:large",yes,PUBLISHED,HIGH_CONTENT,746,1,,,0,48,3,0,no,0,yes,yes,
admin.html,utility,EkGuru — bookings,,"noindex,nofollow,noarchive",no,NOINDEX,ADMIN,3085,2,,,0,0,12,0,no,0,yes,yes,
answers/best-hindi-movies-to-learn-hindi/index.html,answer-content,What are the best Hindi movies for learning Hindi? | EkGuru,https://ekguru.shop/answers/best-hindi-movies-to-learn-hindi/,"index, follow, max-snippet:-1, max-image-preview:large",yes,PUBLISHED,HIGH_CONTENT,591,1,,,0,53,1,0,no,0,yes,yes,
answers/best-way-to-learn-hindi-as-a-beginner/index.html,answer-content,What is the best way to learn Hindi as a complete… | EkGuru,https://ekguru.shop/answers/best-way-to-learn-hindi-as-a-beginner/,"index, follow, max-snippet:-1, max-image-preview:large",yes,PUBLISHED,HIGH_CONTENT,833,1,,,0,55,1,0,no,0,yes,yes,
answers/can-i-learn-hindi-without-learning-the-script/index.html,answer-content,Can I learn Hindi without learning the Devanagari… | EkGuru,https://ekguru.shop/answers/can-i-learn-hindi-without-learning-the-script/,"index, follow, max-snippet:-1, max-image-preview:large",yes,PUBLISHED,HIGH_CONTENT,859,1,,,0,55,1,0,no,0,yes,yes,
answers/difference-between-hindi-and-urdu/index.html,answer-content,What is the difference between Hindi and Urdu? | EkGuru,https://ekguru.shop/answers/difference-between-hindi-and-urdu/,"index, follow, max-snippet:-1, max-image-preview:large",yes,PUBLISHED,HIGH_CONTENT,759,1,,,0,54,1,0,no,0,yes,yes,
answers/hindi-body-parts-vocabulary/index.html,answer-content,What are the body parts in Hindi? | EkGuru,https://ekguru.shop/answers/hindi-body-parts-vocabulary/,"index, follow, max-snippet:-1, max-image-preview:large",yes,PUBLISHED,HIGH_CONTENT,603,1,,,0,55,1,0,no,0,yes,yes,
answers/hindi-colours-list/index.html,answer-content,What are the colours in Hindi? | EkGuru,https://ekguru.shop/answers/hindi-colours-list/,"index, follow, max-snippet:-1, max-image-preview:large",yes,PUBLISHED,HIGH_CONTENT,554,1,,,0,54,1,0,no,0,yes,yes,
answers/hindi-days-of-the-week/index.html,answer-content,What are the days of the week in Hindi? | EkGuru,https://ekguru.shop/answers/hindi-days-of-the-week/,"index, follow, max-snippet:-1, max-image-preview:large",yes,PUBLISHED,HIGH_CONTENT,587,1,,,0,54,1,0,no,0,yes,yes,
